English:                                    German:
Forest                                      Wald
Scene                                       Bühne
Music Club                                  Musik Klub
Library                                     Bücherei
Infirmary                                   Krankenstation
Admin Building                              Verwaltungsgebäude
Bus Stop                                    Bushaltestelle
Clubhouse                                   Klubhaus
Shower / Boilerroom                         Dusche / Heizungsraum
Square                                      Großer Platz
Kitchen / Dining Hall                       Küche / Kantine
Ware House                                  Lagerhaus
Volleyball                                  Volleyball
Badminton                                   Badminton
Gymnasium / Locker Room / Shower            Turnhalle / Umkleideraum / Dusche
Football                                    Fußballplatz
Beach                                       Strand
Booth                                       Stand
Boathouse                                   Bootshaus
Old Building                                Altes Gebäude
Closest One Island                          Nächste Insel
Long Island                                 Lange Insel

--> Zu ergänzen:
Buoys                                       Bojen
Gates                                       Haupteingang
WC                                          WC
